OBJECTID Periode1 Periode2 Ala Ana Bab Bam Tes Blb Abb Esl Cyc Cog Sqc Gaa Pup Rur Gog Gyc Chn Bba Lol Tht Amm Pef Leg Sce Sal Sas Alb Tit Pat Sat Php Lel
449670 P3 P4 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied persisted extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449670 P5 P6 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449670 P1 P2 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449670 P2 P3 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied persisted colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449670 P4 P5 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449853 P5 P6 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied extirpated unoccupied unoccupied persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449853 P2 P3 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied extirpated persisted extirpated unoccupied unoccupied colonized persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449853 P6 P7 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied colonized persisted persisted unoccupied unoccupied colonized persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449853 P4 P5 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied colonized unoccupied unoccupied persisted colonized unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449853 P1 P2 unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied colonized persisted persisted unoccupied unoccupied extirpated persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied colonized colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449853 P3 P4 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
429012 P5 P6 unoccupied unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied 
429012 P2 P3 unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied extirpated persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied 
429012 P6 P7 unoccupied colonized extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied colonized persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied colonized unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted colonized 
429012 P3 P4 unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied 
429012 P7 P8 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied extirpated extirpated extirpated unoccupied unoccupied persisted unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted extirpated 
429012 P4 P5 unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted unoccupied 
429012 P1 P2 unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied colonized persisted persisted unoccupied extirpated persisted colonized unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted extirpated 
449885 P5 P6 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted colonized unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449885 P3 P4 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449885 P7 P8 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449885 P4 P5 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted extirpated unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449885 P1 P2 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449885 P2 P3 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted colonized unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449885 P6 P7 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449887 P6 P7 unoccupied colonized persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied colonized unoccupied persisted unoccupied unoccupied persisted unoccupied persisted unoccupied colonized unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted persisted 
449887 P7 P8 unoccupied persisted persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied persisted colonized persisted unoccupied unoccupied persisted unoccupied persisted unoccupied extirpated unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted persisted 
449887 P3 P4 extirpated extirpated extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied extirpated persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted persisted 
449887 P2 P3 colonized persisted persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied persisted persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied colonized unoccupied unoccupied unoccupied unoccupied colonized unoccupied unoccupied persisted persisted persisted 
449887 P1 P2 unoccupied persisted persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied persisted persisted persisted unoccupied unoccupied persisted unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied extirpated unoccupied unoccupied persisted persisted persisted 
449905 P7 P8 colonized unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied colonized persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted colonized 
449905 P5 P6 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449905 P4 P5 unoccupied unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449905 P1 P2 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied colonized unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449905 P3 P4 unoccupied unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied colonized persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449905 P2 P3 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449905 P6 P7 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied unoccupied extirpated persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted unoccupied 
449927 P2 P3 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted colonized unoccupied 
449927 P1 P2 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied extirpated unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449927 P5 P6 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449927 P4 P5 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449927 P6 P7 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied extirpated unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied 
449927 P3 P4 unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied unoccupied colonized unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied unoccupied persisted extirpated unoccupied 
449941 P1 P2 persisted persisted unoccupied unoccupied unoccupied colonized persisted extirpated unoccupied unoccupied persisted unoccupied persisted persisted persisted colonized unoccupied persisted unoccupied unoccupied persisted persisted persisted colonized unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted 
449941 P5 P6 extirpated persisted unoccupied unoccupied unoccupied extirpated persisted persisted unoccupied unoccupied persisted unoccupied colonized persisted persisted extirpated unoccupied persisted unoccupied unoccupied persisted persisted persisted unoccupied unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted 
449941 P4 P5 persisted persisted unoccupied unoccupied unoccupied persisted persisted colonized unoccupied unoccupied persisted unoccupied unoccupied persisted persisted persisted unoccupied persisted unoccupied unoccupied persisted persisted persisted extirpated extirpated unoccupied extirpated persisted unoccupied unoccupied persisted persisted 
449941 P2 P3 persisted persisted unoccupied unoccupied unoccupied persisted persisted colonized unoccupied unoccupied persisted unoccupied persisted persisted persisted persisted unoccupied persisted unoccupied unoccupied persisted persisted persisted extirpated unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted extirpated 
449941 P3 P4 persisted persisted unoccupied unoccupied unoccupied persisted persisted extirpated unoccupied unoccupied persisted unoccupied extirpated persisted persisted persisted unoccupied persisted unoccupied unoccupied persisted persisted persisted colonized colonized unoccupied colonized persisted unoccupied unoccupied persisted colonized 
429888 P3 P4 extirpated persisted unoccupied unoccupied unoccupied persisted persisted persisted colonized unoccupied persisted extirpated persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied 
429888 P1 P2 unoccupied persisted unoccupied unoccupied unoccupied persisted colonized persisted unoccupied unoccupied persisted unoccupied persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted colonized persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied 
429888 P2 P3 colonized persisted unoccupied unoccupied unoccupied persisted persisted persisted unoccupied unoccupied persisted colonized persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied 
429888 P4 P5 unoccupied persisted unoccupied unoccupied unoccupied persisted persisted persisted extirpated unoccupied persisted unoccupied persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted persisted persisted persisted unoccupied unoccupied unoccupied persisted unoccupied unoccupied persisted unoccupied 
449945 P7 P8 persisted persisted unoccupied unoccupied unoccupied persisted persisted persisted extirpated unoccupied persisted unoccupied unoccupied persisted persisted persisted unoccupied unoccupied unoccupied unoccupied persisted persisted persisted persisted extirpated unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied 
449945 P6 P7 persisted persisted unoccupied unoccupied unoccupied persisted persisted persisted colonized unoccupied persisted unoccupied unoccupied persisted persisted persisted unoccupied unoccupied unoccupied unoccupied persisted persisted persisted persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied 
449945 P2 P3 persisted persisted unoccupied unoccupied unoccupied colonized persisted persisted unoccupied unoccupied persisted unoccupied unoccupied persisted extirpated unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted persisted persisted persisted unoccupied unoccupied persisted unoccupied unoccupied extirpated unoccupied 
449945 P5 P6 persisted persisted unoccupied unoccupied unoccupied persisted persisted persisted unoccupied unoccupied persisted unoccupied unoccupied persisted persisted persisted unoccupied extirpated unoccupied unoccupied persisted persisted persisted persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied 
449945 P1 P2 persisted persisted unoccupied unoccupied unoccupied extirpated persisted persisted extirpated extirpated colonized unoccupied unoccupied persisted colonized unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted persisted persisted persisted unoccupied unoccupied persisted unoccupied unoccupied colonized unoccupied 
449945 P3 P4 persisted persisted unoccupied unoccupied unoccupied extirpated persisted persisted unoccupied unoccupied persisted unoccupied unoccupied persisted colonized unoccupied unoccupied unoccupied unoccupied unoccupied persisted persisted persisted persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied 
449945 P4 P5 persisted persisted unoccupied unoccupied unoccupied colonized persisted persisted unoccupied unoccupied persisted unoccupied unoccupied persisted persisted colonized unoccupied colonized unoccupied unoccupied persisted persisted persisted persisted persisted unoccupied unoccupied persisted unoccupied unoccupied unoccupied unoccupied 
